Age,Agent,ID,Language,Referer
45.0,Linux,4876,NL,Google
32.0,mobile,3759,GE,NA
30.0,OSX,312,EN,Google
48.0,OSX,1037,GE,NA
38.0,Linux,4887,GE,Bing
37.0,mobile,2676,EN,Google
31.0,mobile,1718,EN,NA
35.0,mobile,4227,NL,Bing
35.0,mobile,2601,GE,Bing
71.0,OSX,2234,GE,NA
30.0,mobile,2475,EN,NA
40.0,mobile,4381,GE,NA
22.0,OSX,1260,EN,Google
27.0,Windows,2836,NL,Bing
31.0,mobile,1441,GE,Google
32.0,Linux,1595,GE,Google
34.0,mobile,120,EN,Google
65.0,OSX,101,GE,Bing
36.0,Linux,4459,NL,Google
27.0,mobile,3598,GE,NA
28.0,mobile,3754,NL,Google
38.0,OSX,4014,EN,NA
27.0,OSX,2486,GE,NA
26.0,Linux,4428,GE,Bing
36.0,Windows,2759,NL,Google
24.0,OSX,2531,GE,Bing
24.0,mobile,3211,EN,NA
28.0,mobile,3477,EN,Bing
52.0,mobile,4789,EN,Google
30.0,Windows,1457,NL,Google
31.0,mobile,961,EN,NA
29.0,Linux,446,NL,Google
32.0,Linux,3845,EN,NA
31.0,mobile,1441,EN,Google
26.0,mobile,68,EN,Bing
45.0,mobile,3175,NL,Bing
18.0,mobile,1913,EN,Google
26.0,mobile,4016,EN,Bing
21.0,Linux,471,GE,Google
35.0,mobile,2467,GE,Bing
46.0,Linux,4002,NL,Google
27.0,Windows,3034,EN,Google
39.0,mobile,897,EN,Bing
32.0,mobile,109,NL,Google
49.0,mobile,639,GE,NA
41.0,OSX,4107,EN,Google
40.0,mobile,2071,GE,Bing
35.0,mobile,847,GE,Google
36.0,mobile,2756,EN,Bing
25.0,mobile,4606,GE,NA
34.0,mobile,1294,GE,NA
32.0,mobile,3768,NL,Google
36.0,OSX,4749,NL,Bing
33.0,Windows,1984,NL,Google
50.0,OSX,720,EN,Bing
31.0,Linux,580,EN,Google
31.0,OSX,4659,EN,Bing
24.0,Linux,2274,EN,Bing
27.0,Linux,1006,NL,Bing
29.0,mobile,4367,EN,Google
24.0,OSX,3250,NL,Bing
24.0,OSX,2128,NL,Google
37.0,mobile,2171,NL,Bing
40.0,mobile,459,NL,NA
33.0,mobile,2547,GE,Google
24.0,Windows,1929,GE,Google
27.0,OSX,1823,GE,NA
43.0,mobile,317,GE,NA
39.0,mobile,1879,NL,Google
45.0,mobile,1900,NL,Google
30.0,mobile,2273,GE,NA
31.0,mobile,3731,EN,Bing
43.0,OSX,1641,EN,NA
39.0,OSX,2109,EN,NA
46.0,mobile,241,GE,NA
35.0,Linux,1328,EN,Bing
37.0,mobile,3861,EN,NA
29.0,OSX,872,EN,Google
29.0,mobile,3238,GE,Bing
44.0,OSX,2912,NL,NA
40.0,mobile,1284,EN,NA
39.0,OSX,1879,EN,Google
42.0,mobile,2702,EN,Google
38.0,Windows,3876,EN,NA
36.0,mobile,1092,NL,NA
30.0,mobile,4862,GE,Bing
28.0,OSX,4974,GE,Google
27.0,Windows,4349,EN,Bing
36.0,OSX,124,GE,Bing
25.0,Windows,2514,NL,NA
42.0,mobile,1393,NL,Google
37.0,Linux,1231,GE,Bing
31.0,OSX,2089,NL,Google
34.0,mobile,785,GE,Bing
30.0,mobile,2440,EN,Google
33.0,mobile,4154,NL,Google
24.0,mobile,3512,GE,Google
26.0,mobile,3036,GE,NA
33.0,mobile,4299,NL,NA
21.0,Linux,3831,GE,Google
30.0,OSX,569,NL,Bing
45.0,mobile,1079,GE,Bing
31.0,Linux,4730,EN,Google
37.0,Windows,4718,GE,NA
35.0,mobile,2788,EN,NA
45.0,mobile,2703,NL,NA
30.0,mobile,670,GE,NA
25.0,OSX,3496,GE,Bing
23.0,mobile,1130,EN,Bing
32.0,mobile,3868,GE,Bing
35.0,Windows,2979,EN,Google
40.0,Windows,1469,EN,NA
64.0,OSX,3000,NL,NA
33.0,mobile,4098,EN,Bing
34.0,OSX,4332,EN,Bing
34.0,OSX,1890,NL,Google
34.0,mobile,3514,NL,Google
21.0,Windows,1635,GE,Google
37.0,mobile,3450,NL,Google
47.0,mobile,3501,EN,NA
33.0,Windows,1514,GE,NA
42.0,Windows,4301,GE,Bing
47.0,Linux,2115,NL,Google
28.0,mobile,1781,NL,Bing
54.0,OSX,4212,EN,Google
26.0,mobile,1810,GE,NA
34.0,Windows,3867,EN,Google
33.0,Windows,2879,EN,NA
26.0,mobile,4196,GE,NA
37.0,OSX,1841,NL,Google
32.0,Linux,4457,EN,NA
29.0,mobile,702,EN,Bing
30.0,mobile,280,EN,Google
25.0,mobile,3227,GE,NA
28.0,OSX,2175,EN,Bing
27.0,mobile,743,NL,NA
34.0,mobile,3682,EN,Google
29.0,mobile,3897,NL,Bing
25.0,mobile,688,GE,NA
56.0,OSX,3946,EN,Google
35.0,mobile,321,NL,Google
36.0,mobile,3445,NL,Google
27.0,mobile,1255,NL,Bing
38.0,mobile,2086,EN,NA
27.0,mobile,4829,EN,Google
41.0,OSX,4686,EN,NA
49.0,mobile,1226,GE,Bing
22.0,mobile,4144,NL,Google
29.0,mobile,591,GE,Google
26.0,Windows,4306,NL,NA
25.0,mobile,3555,GE,Bing
20.0,mobile,4961,NL,Bing
49.0,Windows,3832,EN,Bing
43.0,Windows,1654,GE,Google
42.0,mobile,1166,EN,NA
42.0,mobile,4551,NL,Google
45.0,OSX,1265,NL,NA
27.0,mobile,1655,GE,Google
43.0,Windows,38,EN,Google
40.0,mobile,3330,GE,Bing
19.0,mobile,4684,EN,NA
31.0,OSX,3925,GE,Bing
49.0,mobile,1565,GE,Google
50.0,mobile,2321,EN,NA
39.0,Windows,3692,GE,Google
31.0,mobile,2398,GE,Google
32.0,Linux,2294,EN,Google
32.0,OSX,1993,GE,NA
26.0,mobile,2559,EN,NA
28.0,OSX,2523,EN,NA
31.0,OSX,355,NL,NA
25.0,mobile,4591,EN,Bing
23.0,Linux,1401,EN,NA
26.0,Windows,2017,GE,Bing
44.0,mobile,4307,NL,Bing
25.0,Linux,4872,NL,Bing
33.0,OSX,2219,NL,NA
43.0,mobile,4115,GE,Google
28.0,mobile,2942,EN,Bing
21.0,mobile,1973,GE,Bing
48.0,Linux,3844,GE,NA
36.0,Windows,2515,GE,Bing
32.0,mobile,735,NL,Bing
32.0,OSX,846,GE,Google
33.0,mobile,2713,NL,Bing
21.0,Windows,3453,EN,Bing
40.0,mobile,4102,GE,Google
39.0,Windows,4038,EN,Bing
37.0,mobile,3101,EN,Google
32.0,mobile,1040,NL,NA
32.0,mobile,2010,GE,Google
30.0,Windows,4758,EN,Bing
48.0,OSX,4806,GE,Bing
28.0,Windows,2143,NL,Bing
34.0,Windows,1397,GE,NA
43.0,mobile,767,GE,Google
32.0,Windows,4784,GE,NA
31.0,mobile,837,NL,NA
29.0,OSX,2524,EN,Google
54.0,mobile,2906,EN,Bing
30.0,Linux,4884,GE,Google
28.0,mobile,3414,EN,NA
29.0,Windows,1540,NL,NA
21.0,Linux,1637,GE,Bing
48.0,mobile,263,GE,Google
28.0,OSX,1319,NL,Google
27.0,mobile,1699,GE,Bing
33.0,Linux,3253,GE,Google
35.0,Linux,43,EN,NA
32.0,mobile,1091,NL,Google
43.0,mobile,2988,GE,Bing
35.0,Linux,85,NL,Bing
27.0,mobile,4484,EN,NA
31.0,Windows,979,EN,NA
32.0,mobile,1142,EN,Bing
53.0,Linux,1276,EN,NA
38.0,OSX,1459,GE,NA
45.0,OSX,1660,EN,NA
21.0,mobile,642,GE,Bing
31.0,OSX,4576,NL,Google
35.0,mobile,2170,GE,NA
54.0,OSX,4212,EN,NA
30.0,Linux,2914,EN,NA
27.0,mobile,4926,EN,Bing
55.0,mobile,1633,GE,NA
30.0,OSX,2158,GE,Bing
22.0,mobile,4815,NL,Bing
48.0,Windows,2389,NL,Bing
53.0,mobile,3235,EN,Google
21.0,Linux,2734,NL,NA
30.0,mobile,3601,NL,Bing
32.0,OSX,4870,GE,Bing
27.0,mobile,1504,EN,Google
34.0,mobile,3542,NL,Bing
20.0,mobile,1799,EN,NA
43.0,Windows,3630,NL,NA
36.0,mobile,410,NL,Bing
30.0,mobile,1461,NL,NA
33.0,Windows,1832,NL,Google
41.0,Windows,273,GE,NA
31.0,mobile,1074,EN,Bing
45.0,Linux,3584,EN,Google
29.0,mobile,4560,NL,Google
60.0,mobile,1811,GE,Google
37.0,mobile,2984,EN,Google
37.0,mobile,1256,GE,NA
41.0,mobile,4089,EN,Google
32.0,Windows,1383,NL,Bing
26.0,mobile,3538,NL,Google
32.0,mobile,552,NL,Bing
42.0,OSX,2333,NL,Google
31.0,mobile,1474,NL,Bing
33.0,Linux,3253,GE,Google
37.0,OSX,2047,EN,NA
33.0,Windows,958,GE,Google
27.0,Linux,509,EN,NA
31.0,Linux,3037,NL,Bing
50.0,OSX,1,GE,Bing
37.0,Windows,4298,GE,Google
49.0,mobile,1543,NL,Google
26.0,mobile,1795,NL,Google
73.0,Linux,4669,GE,NA
33.0,Linux,2587,EN,NA
46.0,Linux,2191,NL,NA
35.0,mobile,4647,EN,Bing
28.0,Linux,4274,EN,Google
33.0,mobile,3165,NL,Google
25.0,mobile,4392,GE,Google
21.0,OSX,4541,GE,NA
52.0,mobile,1219,NL,Google
30.0,Windows,3632,GE,NA
28.0,Windows,4303,GE,Google
29.0,mobile,2014,GE,Google
23.0,mobile,1682,EN,Bing
42.0,OSX,1075,EN,NA
28.0,mobile,2928,EN,NA
54.0,mobile,924,GE,Google
36.0,Linux,361,GE,NA
60.0,Windows,3492,EN,NA
43.0,mobile,1632,EN,NA
28.0,Linux,4585,GE,Google
45.0,Linux,1924,NL,Bing
48.0,OSX,4965,GE,Google
29.0,OSX,3578,EN,Bing
54.0,OSX,1562,EN,NA
30.0,OSX,1414,GE,NA
35.0,mobile,4506,GE,NA
20.0,mobile,4875,NL,NA
41.0,OSX,230,GE,Bing
39.0,Linux,3100,GE,Bing
33.0,mobile,2049,GE,Google
24.0,mobile,4256,GE,Bing
56.0,mobile,3922,GE,Bing
40.0,OSX,3295,EN,NA
17.0,mobile,595,GE,Google
23.0,Linux,3928,GE,NA
30.0,Linux,949,GE,Google
34.0,Linux,217,NL,NA
37.0,mobile,3373,NL,Google
38.0,mobile,3086,NL,NA
27.0,OSX,584,GE,Bing
25.0,mobile,2001,EN,NA
31.0,mobile,3340,GE,NA
36.0,mobile,2016,EN,NA
32.0,mobile,4234,EN,NA
50.0,mobile,2862,GE,NA
33.0,Windows,976,NL,Google
30.0,Linux,242,NL,Bing
29.0,OSX,803,GE,Google
45.0,Linux,1527,NL,Bing
47.0,Linux,2030,GE,NA
27.0,OSX,358,GE,Bing
30.0,mobile,4204,NL,NA
38.0,Windows,2936,GE,Bing
48.0,mobile,177,NL,Google
43.0,mobile,2754,EN,NA
34.0,mobile,3230,GE,NA
45.0,OSX,1079,NL,NA
36.0,Linux,2195,EN,Bing
38.0,OSX,4452,NL,Bing
54.0,OSX,4212,NL,NA
34.0,mobile,3858,GE,NA
30.0,mobile,880,NL,Google
48.0,mobile,449,GE,Google
37.0,Linux,833,EN,Bing
25.0,Windows,1073,NL,NA
61.0,mobile,1395,GE,Bing
46.0,mobile,4803,NL,NA
29.0,mobile,4948,GE,Google
27.0,Linux,4511,NL,Google
41.0,OSX,4356,EN,Bing
34.0,mobile,3225,GE,Google
33.0,Linux,114,NL,NA
30.0,mobile,853,GE,NA
27.0,mobile,1055,EN,Bing
21.0,mobile,1405,GE,Bing
27.0,OSX,2465,GE,Bing
27.0,mobile,1053,NL,NA
26.0,mobile,1603,EN,Bing
33.0,mobile,2259,NL,Google
38.0,mobile,1446,EN,NA
25.0,mobile,1161,GE,NA
40.0,Windows,1547,EN,Bing
33.0,mobile,2998,GE,NA
30.0,mobile,547,EN,Google
25.0,OSX,4708,NL,NA
53.0,mobile,2093,EN,Bing
30.0,OSX,1297,NL,NA
48.0,mobile,3472,EN,Google
23.0,mobile,824,EN,Google
35.0,Linux,3002,NL,Google
46.0,mobile,1620,NL,NA
34.0,OSX,412,NL,NA
22.0,mobile,1344,EN,Google
38.0,Linux,3881,NL,NA
31.0,mobile,1718,GE,Google
28.0,OSX,3801,EN,Bing
25.0,mobile,3849,NL,Google
37.0,mobile,3789,NL,Bing
45.0,mobile,2217,GE,NA
44.0,Windows,439,EN,NA
27.0,OSX,1255,GE,NA
29.0,mobile,799,NL,Google
53.0,mobile,3235,EN,Google
30.0,mobile,2652,EN,Google
32.0,Windows,2336,GE,NA
27.0,Windows,1435,NL,Google
23.0,OSX,3353,EN,Bing
37.0,mobile,4279,EN,NA
22.0,mobile,59,GE,NA
34.0,Windows,3804,NL,NA
43.0,Windows,1555,NL,Bing
36.0,OSX,3525,NL,Google
34.0,Linux,4490,EN,Google
33.0,mobile,1134,EN,NA
35.0,mobile,3296,EN,Google
25.0,OSX,4952,NL,Bing
17.0,mobile,3975,GE,NA
36.0,mobile,4594,NL,NA
33.0,mobile,2713,GE,Bing
25.0,Windows,4768,EN,Google
34.0,mobile,2045,NL,Bing
33.0,mobile,4966,NL,Bing
38.0,mobile,1157,EN,Google
27.0,OSX,2473,NL,NA
28.0,mobile,3741,NL,Google
31.0,mobile,588,EN,Google
55.0,mobile,2208,NL,Google
24.0,Linux,3284,NL,Google
27.0,mobile,3448,NL,Google
31.0,mobile,1135,EN,NA
29.0,mobile,702,EN,Bing
28.0,Windows,1765,NL,Google
37.0,mobile,2125,EN,Google
38.0,OSX,1697,EN,Bing
31.0,mobile,1653,EN,NA
27.0,OSX,1877,EN,Google
38.0,Linux,1967,NL,NA
21.0,OSX,848,NL,Bing
34.0,OSX,4143,NL,Bing
41.0,mobile,237,NL,NA
40.0,mobile,3790,NL,NA
27.0,mobile,1051,NL,Bing
30.0,mobile,2327,GE,Bing
21.0,Linux,3255,GE,NA
31.0,Windows,3818,EN,NA
26.0,Linux,3558,EN,Google
34.0,Windows,3307,EN,Google
32.0,mobile,374,EN,NA
50.0,mobile,3534,GE,Google
45.0,OSX,1502,GE,Google
21.0,mobile,1181,NL,Bing
35.0,mobile,85,NL,Google
29.0,mobile,2351,NL,Bing
31.0,Linux,2414,NL,Bing
34.0,Linux,4925,EN,Google
19.0,Linux,4590,NL,NA
34.0,mobile,3770,EN,Google
55.0,Windows,1931,NL,Bing
44.0,mobile,3136,NL,NA
40.0,mobile,780,GE,Google
37.0,OSX,1817,EN,NA
23.0,Windows,4947,GE,Bing
25.0,Linux,3410,NL,Bing
32.0,mobile,3510,EN,NA
41.0,mobile,3735,NL,NA
41.0,mobile,579,GE,Bing
31.0,OSX,2651,GE,Google
36.0,OSX,4749,NL,Bing
33.0,mobile,3214,EN,Bing
24.0,Linux,3284,NL,Bing
29.0,OSX,799,EN,NA
28.0,Linux,4076,GE,Google
32.0,OSX,2751,GE,NA
47.0,Windows,2147,NL,Bing
27.0,mobile,3034,EN,Bing
43.0,Windows,3513,NL,Google
30.0,mobile,4281,EN,NA
26.0,mobile,2574,EN,NA
30.0,mobile,2066,EN,Bing
45.0,Linux,4713,NL,Bing
28.0,Linux,3741,EN,NA
27.0,mobile,2409,GE,Bing
24.0,mobile,1995,GE,Bing
21.0,Linux,3569,GE,Google
30.0,Linux,1772,NL,Google
48.0,OSX,399,GE,Bing
36.0,mobile,4129,GE,Google
27.0,mobile,1264,GE,Bing
35.0,mobile,354,EN,Google
27.0,mobile,2055,EN,Google
33.0,OSX,4098,EN,Bing
45.0,OSX,794,GE,NA
32.0,Linux,4468,EN,Bing
42.0,Linux,623,EN,Google
22.0,mobile,3004,NL,Google
52.0,mobile,2078,EN,NA
33.0,mobile,362,NL,Bing
32.0,Linux,2459,GE,Google
27.0,mobile,509,EN,NA
35.0,Windows,305,EN,Bing
28.0,mobile,712,NL,Bing
25.0,OSX,4562,GE,Google
46.0,mobile,1085,GE,Google
30.0,mobile,1860,EN,Bing
32.0,mobile,3109,GE,Bing
24.0,mobile,4548,GE,Bing
33.0,mobile,119,EN,Bing
29.0,mobile,178,GE,Google
38.0,mobile,3738,GE,Bing
32.0,mobile,957,EN,Google
33.0,OSX,119,EN,Google
28.0,OSX,4221,GE,Google
41.0,Linux,1334,EN,NA
23.0,mobile,2555,GE,NA
38.0,mobile,2532,NL,NA
18.0,mobile,1183,EN,Google
39.0,OSX,4130,NL,Google
23.0,mobile,1130,EN,NA
40.0,mobile,3790,NL,NA
27.0,OSX,4926,EN,Bing
26.0,mobile,2354,GE,NA
38.0,mobile,3305,EN,Bing
46.0,OSX,1162,NL,NA
46.0,mobile,3199,GE,Google
57.0,OSX,3573,GE,Google
40.0,Linux,1128,GE,NA
43.0,mobile,1592,GE,Google
30.0,mobile,242,NL,Bing
48.0,mobile,1422,EN,NA
38.0,OSX,2374,NL,Bing
26.0,Linux,3462,EN,NA
33.0,Windows,1984,GE,NA
33.0,OSX,4864,NL,Bing
45.0,mobile,4036,EN,Bing
38.0,mobile,2176,GE,Google
31.0,Linux,1813,NL,Google
25.0,OSX,4952,NL,Google
28.0,Linux,151,EN,NA
39.0,Windows,4950,GE,Bing
39.0,mobile,1064,NL,Bing
37.0,OSX,2009,NL,Bing
36.0,OSX,1809,GE,NA
25.0,OSX,3813,NL,NA
22.0,mobile,2495,GE,Bing
24.0,mobile,1452,NL,Google
29.0,Windows,4277,EN,NA
37.0,mobile,2458,GE,NA
34.0,Windows,2281,GE,Google
21.0,mobile,3210,NL,Bing
35.0,mobile,3015,EN,Google
22.0,OSX,1260,GE,Bing
41.0,mobile,3067,NL,NA
46.0,Linux,1523,GE,Google
31.0,mobile,754,GE,Google
35.0,mobile,1373,NL,Bing
32.0,OSX,3522,GE,Google
25.0,mobile,544,NL,NA
