Age,Agent,ID,Language,Referer
22.0,Linux,59,NL,Google
44.0,Windows,3136,EN,
31.0,mobile,4687,EN,Bing
42.0,mobile,4018,GE,Bing
38.0,mobile,1123,EN,Google
29.0,mobile,4861,NL,
33.0,OSX,4499,GE,Google
32.0,Windows,1994,EN,Bing
34.0,mobile,3613,EN,Bing
27.0,Linux,786,NL,
53.0,mobile,1096,NL,Bing
43.0,OSX,3493,EN,Bing
29.0,mobile,1819,NL,Bing
37.0,mobile,1578,GE,Bing
35.0,Linux,2712,NL,Bing
36.0,Linux,4998,EN,Google
21.0,mobile,1789,GE,
41.0,Linux,1347,GE,
36.0,Windows,2515,NL,Bing
37.0,Windows,3591,EN,Bing
44.0,Windows,199,GE,Bing
25.0,OSX,4831,GE,Google
42.0,mobile,523,EN,Bing
27.0,Linux,3655,EN,
33.0,Linux,4377,NL,Bing
25.0,mobile,3372,NL,Bing
48.0,Windows,1730,EN,Google
26.0,Windows,1991,NL,Bing
39.0,mobile,1235,EN,Google
30.0,Windows,4755,EN,
36.0,mobile,1614,NL,Bing
32.0,OSX,3522,EN,
35.0,mobile,3956,GE,
32.0,mobile,3917,EN,
38.0,Windows,3207,GE,
32.0,OSX,2751,EN,Bing
24.0,Linux,1214,NL,
38.0,Linux,2337,NL,Bing
37.0,mobile,2881,NL,
26.0,Windows,2017,EN,Bing
25.0,mobile,3217,EN,
33.0,Linux,346,NL,
48.0,OSX,4865,EN,Bing
42.0,mobile,1201,EN,
27.0,mobile,4614,EN,Bing
37.0,Linux,3880,NL,
31.0,mobile,1952,GE,
29.0,Linux,1433,NL,
38.0,mobile,898,NL,Bing
20.0,mobile,1856,NL,Google
25.0,Linux,1572,GE,
41.0,mobile,2878,EN,
49.0,Windows,3733,GE,Google
28.0,Linux,4525,GE,
40.0,Linux,1128,GE,Bing
30.0,mobile,2842,GE,Bing
46.0,mobile,3017,GE,
36.0,mobile,4918,EN,Bing
26.0,Linux,2981,NL,Google
28.0,Linux,985,GE,Google
29.0,mobile,2303,GE,
24.0,Windows,3808,GE,
31.0,mobile,1903,EN,Bing
34.0,mobile,2496,NL,
44.0,mobile,1180,EN,Bing
31.0,Windows,1718,GE,
36.0,OSX,1834,EN,Bing
45.0,mobile,2868,EN,Bing
39.0,mobile,2747,EN,Bing
25.0,Linux,3288,GE,Bing
23.0,mobile,200,NL,Bing
31.0,Windows,105,GE,
35.0,mobile,3083,NL,Bing
31.0,mobile,737,GE,
37.0,OSX,718,GE,Bing
30.0,mobile,4420,NL,
25.0,Linux,1161,NL,Google
31.0,mobile,2212,NL,Bing
47.0,Windows,2648,NL,Google
38.0,OSX,1482,GE,Google
37.0,Windows,4528,GE,
21.0,mobile,1405,EN,
39.0,Linux,3105,NL,Google
28.0,mobile,4970,GE,
21.0,mobile,1644,GE,
23.0,mobile,4379,GE,Google
23.0,Linux,4675,NL,Google
29.0,Windows,571,GE,Bing
42.0,OSX,784,GE,Google
36.0,mobile,3424,EN,
46.0,mobile,4257,GE,Bing
54.0,mobile,3122,EN,Bing
25.0,mobile,4902,NL,Google
28.0,mobile,2165,EN,
44.0,Linux,3962,GE,Bing
27.0,Windows,4752,GE,Google
30.0,mobile,4045,EN,
29.0,Linux,3746,EN,
23.0,OSX,2510,NL,Google
23.0,mobile,300,GE,Google
42.0,mobile,4266,EN,Bing
44.0,mobile,2736,EN,
38.0,Windows,1191,GE,Bing
24.0,OSX,4610,NL,Bing
20.0,mobile,1197,NL,Google
33.0,Windows,4519,EN,Google
34.0,mobile,3022,NL,
27.0,mobile,4321,EN,Bing
32.0,mobile,3413,GE,Bing
54.0,OSX,3249,EN,
40.0,Linux,3533,NL,Google
38.0,mobile,731,GE,Bing
37.0,mobile,1234,GE,
34.0,mobile,1345,NL,Bing
30.0,mobile,4959,NL,Bing
31.0,Linux,2579,GE,
36.0,Windows,3531,GE,Bing
31.0,OSX,1748,NL,Bing
21.0,OSX,850,NL,Google
25.0,Linux,2738,NL,
25.0,mobile,4024,NL,Bing
25.0,mobile,4360,GE,Google
40.0,mobile,3709,EN,
41.0,mobile,4005,EN,Google
27.0,mobile,2465,NL,Bing
37.0,mobile,3593,NL,
40.0,mobile,1646,GE,Bing
56.0,mobile,3946,EN,Google
37.0,mobile,830,NL,
31.0,mobile,1784,NL,Google
42.0,Windows,4516,GE,
25.0,Linux,3874,GE,Google
21.0,mobile,1806,EN,Google
28.0,mobile,4221,GE,
39.0,mobile,74,GE,Bing
37.0,OSX,4145,GE,Google
31.0,mobile,2714,GE,Bing
38.0,mobile,1016,GE,Bing
41.0,Windows,666,NL,
33.0,mobile,2500,NL,
34.0,Windows,2133,NL,Bing
47.0,mobile,147,NL,Google
50.0,Windows,2270,EN,
23.0,Windows,2555,GE,
40.0,OSX,1072,GE,Bing
26.0,OSX,974,NL,Bing
31.0,mobile,1155,EN,
61.0,mobile,2541,NL,Bing
28.0,OSX,456,GE,Google
49.0,mobile,4357,EN,Google
31.0,Windows,1616,GE,
38.0,mobile,2167,NL,
38.0,Windows,645,EN,Bing
26.0,mobile,4900,GE,Bing
36.0,mobile,3260,GE,Bing
47.0,OSX,147,GE,Google
21.0,Linux,4726,GE,Bing
26.0,Windows,3609,NL,Bing
36.0,Windows,4885,EN,Bing
42.0,OSX,4933,GE,Google
50.0,mobile,596,NL,Google
30.0,Linux,3064,GE,Google
45.0,OSX,1660,NL,
30.0,mobile,4163,EN,Google
26.0,mobile,1603,NL,Google
39.0,mobile,2811,EN,Bing
29.0,Windows,4066,NL,Google
38.0,mobile,2691,EN,
49.0,mobile,1332,NL,Bing
44.0,OSX,2070,NL,
30.0,OSX,3786,GE,
27.0,mobile,1836,NL,Bing
22.0,Linux,1089,NL,Bing
34.0,OSX,468,GE,Bing
40.0,mobile,3351,NL,
48.0,OSX,399,GE,Bing
46.0,mobile,1711,EN,Google
39.0,mobile,2741,GE,
43.0,Windows,1386,NL,Google
35.0,Linux,4527,NL,Bing
27.0,mobile,382,EN,
23.0,mobile,271,GE,Google
29.0,Windows,4092,NL,Google
26.0,OSX,974,NL,Bing
24.0,mobile,4352,GE,
34.0,Linux,2762,GE,Bing
38.0,mobile,3232,GE,Google
39.0,mobile,3556,NL,Google
40.0,Windows,3709,NL,Google
24.0,mobile,4518,GE,Bing
31.0,mobile,245,GE,Bing
31.0,Linux,4849,GE,
42.0,mobile,3467,NL,Bing
29.0,OSX,420,EN,
38.0,Linux,2037,GE,Google
45.0,mobile,1924,NL,Bing
31.0,mobile,4327,EN,Google
44.0,mobile,3822,GE,Google
39.0,OSX,1442,GE,Bing
34.0,mobile,3952,GE,Bing
24.0,Linux,1199,GE,Google
30.0,Windows,130,NL,Google
30.0,mobile,2346,EN,Bing
43.0,Linux,2923,GE,
32.0,mobile,3404,GE,Bing
32.0,mobile,3768,EN,Google
37.0,Windows,756,NL,Google
36.0,OSX,3445,EN,Google
30.0,Linux,4753,NL,
49.0,mobile,1048,GE,Google
29.0,mobile,1151,NL,Bing
24.0,mobile,3663,NL,
35.0,OSX,4445,GE,Google
42.0,mobile,1393,EN,
34.0,OSX,390,NL,Bing
38.0,OSX,2227,EN,
39.0,OSX,4722,GE,
37.0,mobile,4718,NL,Google
22.0,mobile,4798,GE,Google
34.0,OSX,2877,GE,Google
50.0,Linux,1146,EN,
30.0,Linux,3948,NL,Google
28.0,mobile,175,EN,Google
38.0,Windows,4717,GE,Google
37.0,OSX,3981,NL,
25.0,Linux,2120,GE,
28.0,Linux,2277,GE,Bing
25.0,mobile,4435,NL,Bing
32.0,mobile,973,EN,Bing
27.0,mobile,2618,EN,Bing
28.0,mobile,3018,GE,
43.0,mobile,1107,EN,
20.0,OSX,2994,EN,
18.0,mobile,3416,NL,Google
35.0,mobile,2251,GE,Bing
32.0,mobile,57,GE,
35.0,mobile,3783,EN,Google
42.0,OSX,1166,EN,Bing
41.0,Windows,1583,GE,
34.0,OSX,2625,GE,
21.0,mobile,1635,EN,Google
28.0,Linux,4416,GE,Google
32.0,Linux,2320,GE,Google
24.0,mobile,3512,GE,
38.0,Windows,3207,GE,Google
50.0,Windows,3680,GE,Google
26.0,Linux,1810,EN,Google
26.0,OSX,1478,GE,Google
33.0,mobile,1243,NL,
37.0,mobile,3031,EN,Google
25.0,Linux,2958,NL,
27.0,mobile,1109,NL,Google
40.0,Windows,3447,NL,
49.0,mobile,4238,EN,Bing
31.0,mobile,2990,GE,
21.0,Linux,3569,GE,Google
33.0,Linux,792,NL,Bing
36.0,OSX,2148,NL,Bing
35.0,mobile,4640,EN,Bing
44.0,mobile,4450,NL,Google
34.0,mobile,4061,NL,
25.0,mobile,3772,EN,Google
23.0,OSX,1600,EN,Google
35.0,mobile,4640,NL,Bing
24.0,OSX,2481,GE,
41.0,Linux,4923,GE,Bing
29.0,mobile,1724,EN,
43.0,mobile,790,NL,Google
36.0,mobile,614,NL,
33.0,Linux,792,EN,
31.0,Linux,41,GE,Bing
21.0,mobile,189,EN,Bing
30.0,mobile,3028,NL,Bing
36.0,OSX,3226,NL,Google
38.0,mobile,3876,EN,
35.0,mobile,17,EN,Bing
43.0,Windows,1244,GE,
42.0,mobile,908,NL,
27.0,Windows,843,NL,
23.0,Windows,4651,NL,
36.0,mobile,1518,EN,
29.0,mobile,3578,GE,Bing
48.0,mobile,857,NL,Bing
29.0,OSX,1366,EN,Google
30.0,mobile,4371,EN,Google
46.0,mobile,1593,EN,Bing
50.0,OSX,1,NL,
22.0,OSX,3987,EN,Bing
27.0,mobile,3864,EN,
27.0,Linux,1229,GE,Google
29.0,mobile,3747,NL,
28.0,mobile,299,NL,Bing
52.0,Linux,1219,NL,
25.0,mobile,2767,GE,Bing
25.0,mobile,1161,NL,Google
46.0,OSX,1162,NL,Bing
25.0,Windows,4768,EN,Google
35.0,OSX,497,GE,Bing
35.0,mobile,4997,GE,Bing
32.0,mobile,1786,NL,Google
37.0,Windows,4232,EN,
29.0,OSX,3238,EN,Bing
25.0,OSX,3227,GE,
18.0,Windows,4275,EN,Bing
30.0,Linux,1651,EN,Google
36.0,Windows,2515,GE,Bing
41.0,mobile,2252,EN,Google
41.0,Windows,666,GE,Bing
25.0,mobile,123,NL,Google
33.0,OSX,3693,GE,
22.0,mobile,2666,NL,Bing
28.0,mobile,4248,GE,Google
43.0,Linux,952,GE,Google
38.0,mobile,672,EN,Bing
26.0,Windows,3476,GE,Bing
35.0,mobile,1086,GE,
51.0,mobile,327,GE,Google
28.0,mobile,2277,NL,Bing
17.0,mobile,4149,GE,Bing
25.0,mobile,1649,GE,
20.0,OSX,1497,GE,
39.0,mobile,1403,NL,Google
21.0,mobile,4025,EN,
41.0,mobile,4214,NL,Bing
28.0,Windows,3850,EN,Google
33.0,mobile,661,NL,Google
28.0,Linux,2375,NL,Google
31.0,Linux,3459,NL,Bing
30.0,mobile,2816,GE,
35.0,OSX,34,EN,Google
43.0,mobile,2774,GE,Google
69.0,mobile,2073,EN,Bing
39.0,mobile,3692,GE,Google
29.0,mobile,560,EN,
28.0,mobile,3989,EN,Bing
24.0,mobile,4827,NL,Google
27.0,mobile,1019,GE,Bing
42.0,Linux,2966,EN,Bing
36.0,mobile,2426,NL,Bing
27.0,Linux,3338,EN,Bing
36.0,mobile,4918,GE,Bing
52.0,mobile,3442,NL,
25.0,Linux,322,GE,
35.0,OSX,289,GE,
29.0,mobile,1623,GE,
33.0,Windows,4701,EN,Bing
22.0,Windows,129,NL,
41.0,OSX,230,EN,Bing
40.0,Linux,541,NL,Google
29.0,Linux,1133,NL,Bing
35.0,mobile,3254,GE,Google
45.0,mobile,2189,GE,Bing
38.0,Linux,3668,NL,Google
35.0,Windows,1849,NL,
23.0,mobile,2144,EN,Bing
32.0,OSX,1786,NL,Bing
52.0,OSX,2078,GE,
41.0,mobile,3511,GE,Google
43.0,OSX,1410,NL,Bing
48.0,mobile,112,NL,Bing
43.0,mobile,4006,GE,Google
31.0,Windows,1797,GE,
34.0,OSX,3907,GE,Google
38.0,OSX,4035,GE,
30.0,mobile,4067,EN,
32.0,mobile,4939,EN,Bing
32.0,Linux,3520,GE,Bing
36.0,Linux,4783,NL,
32.0,OSX,3736,GE,Google
48.0,OSX,3811,NL,Bing
22.0,mobile,2666,NL,Google
42.0,Linux,4324,EN,Bing
44.0,mobile,1163,GE,Google
29.0,Windows,2560,EN,Google
44.0,mobile,3660,EN,
28.0,Windows,2140,EN,Bing
46.0,Windows,448,NL,
33.0,Linux,261,GE,Google
45.0,mobile,4181,NL,Bing
50.0,Windows,2933,NL,Bing
41.0,Linux,253,EN,Bing
51.0,Linux,288,GE,Bing
46.0,mobile,4694,GE,Google
