Age,Agent,ID,Language,Referer
41.0,mobile,861,EN,NA
44.0,mobile,3393,NL,Google
60.0,mobile,3492,NL,NA
28.0,mobile,3617,NL,Bing
39.0,mobile,2491,NL,Google
57.0,Linux,1927,GE,Bing
33.0,Linux,2612,GE,NA
33.0,mobile,427,EN,Bing
25.0,Linux,1932,GE,Bing
47.0,Linux,2106,NL,NA
26.0,OSX,1693,EN,NA
26.0,mobile,798,EN,NA
27.0,Windows,899,EN,Google
22.0,Windows,4558,GE,Bing
37.0,Linux,2533,GE,Bing
26.0,Linux,3024,NL,NA
38.0,Windows,3876,EN,NA
28.0,mobile,4274,EN,Bing
53.0,OSX,2254,EN,Bing
27.0,mobile,3684,NL,Google
43.0,mobile,1555,NL,NA
27.0,mobile,3189,GE,Google
34.0,mobile,3239,GE,Bing
40.0,OSX,2166,NL,Bing
35.0,Linux,1045,GE,Bing
48.0,mobile,2884,GE,Bing
44.0,mobile,2880,NL,Bing
40.0,mobile,4042,GE,Google
28.0,OSX,4311,GE,Google
38.0,OSX,4014,NL,Google
30.0,Linux,4569,EN,Bing
47.0,OSX,147,NL,Google
47.0,Windows,1951,GE,Bing
43.0,Linux,4345,EN,Bing
30.0,mobile,2722,EN,Bing
26.0,mobile,608,NL,Google
21.0,Linux,471,EN,NA
48.0,Windows,2392,GE,Bing
38.0,OSX,1200,NL,NA
51.0,OSX,4172,EN,NA
22.0,Windows,4228,NL,Google
35.0,mobile,2131,NL,NA
29.0,mobile,3826,NL,Google
36.0,mobile,4459,NL,NA
26.0,OSX,3221,GE,NA
50.0,mobile,3559,EN,Google
37.0,OSX,2009,NL,Google
37.0,mobile,287,EN,Bing
29.0,mobile,3932,NL,Google
46.0,Linux,1711,EN,Bing
36.0,Windows,4219,GE,Google
37.0,mobile,2470,GE,Google
38.0,Linux,2748,EN,NA
39.0,mobile,3604,EN,Bing
50.0,mobile,1447,GE,Bing
45.0,mobile,2468,EN,Google
34.0,mobile,555,GE,Bing
26.0,mobile,4738,EN,Google
23.0,Linux,3928,EN,NA
34.0,mobile,4960,EN,Bing
27.0,mobile,2305,EN,Bing
30.0,mobile,3948,EN,Bing
41.0,mobile,70,EN,Bing
21.0,mobile,4726,EN,Bing
44.0,Linux,3439,GE,Bing
35.0,mobile,2111,EN,Google
26.0,mobile,4196,GE,Bing
37.0,mobile,3335,GE,Google
30.0,Linux,2177,GE,NA
31.0,OSX,3925,EN,Bing
43.0,mobile,2988,GE,Bing
27.0,Windows,4829,GE,Bing
44.0,mobile,2643,EN,Bing
34.0,Linux,417,GE,NA
24.0,OSX,3382,EN,Bing
31.0,mobile,3567,EN,Google
22.0,mobile,4144,NL,NA
33.0,mobile,2499,GE,Bing
25.0,mobile,1793,EN,NA
22.0,mobile,3395,NL,Google
38.0,mobile,2443,NL,Bing
51.0,Windows,3583,GE,Bing
32.0,Windows,4559,EN,NA
31.0,Windows,3006,GE,Google
29.0,mobile,3943,EN,Google
37.0,Windows,4298,EN,Google
37.0,mobile,3283,EN,Google
25.0,mobile,232,NL,Google
36.0,Windows,410,NL,NA
40.0,OSX,3295,GE,Google
44.0,mobile,4450,NL,Google
30.0,mobile,2722,NL,NA
26.0,mobile,1508,GE,NA
37.0,mobile,3292,NL,Bing
29.0,Linux,2272,EN,Google
37.0,mobile,2783,NL,NA
28.0,Linux,1275,NL,Bing
28.0,mobile,1909,GE,Bing
24.0,mobile,4775,NL,NA
27.0,mobile,1655,NL,Google
51.0,mobile,278,NL,NA
29.0,mobile,591,GE,Bing
39.0,mobile,1384,NL,NA
27.0,Linux,4086,NL,Bing
36.0,Windows,2915,EN,Bing
41.0,Linux,727,NL,Google
26.0,Windows,3156,EN,Google
38.0,mobile,2589,EN,NA
39.0,mobile,2491,NL,NA
38.0,mobile,1755,NL,NA
27.0,mobile,4829,GE,Google
23.0,Windows,2144,EN,NA
32.0,mobile,3914,GE,NA
40.0,OSX,4474,EN,NA
37.0,mobile,1443,GE,Google
32.0,mobile,2729,GE,NA
23.0,mobile,1401,EN,NA
29.0,OSX,240,GE,NA
25.0,OSX,3227,EN,NA
31.0,Linux,2100,EN,NA
30.0,OSX,4028,EN,Google
52.0,OSX,3938,GE,Google
37.0,mobile,2819,EN,Bing
35.0,Windows,2979,NL,Google
31.0,mobile,6,NL,Bing
31.0,Linux,2882,EN,Bing
27.0,mobile,3386,NL,NA
48.0,Linux,3364,GE,Google
24.0,Windows,2971,NL,NA
35.0,Linux,3518,NL,Bing
36.0,OSX,4891,EN,Google
34.0,mobile,2830,NL,Google
18.0,OSX,3653,NL,Bing
20.0,Windows,277,EN,Google
37.0,mobile,2881,GE,NA
28.0,Linux,2610,GE,Bing
37.0,mobile,4279,GE,Google
29.0,OSX,1434,NL,Google
39.0,mobile,2839,GE,Bing
58.0,OSX,254,GE,Bing
30.0,mobile,1727,GE,Google
24.0,OSX,2342,GE,Bing
19.0,Windows,437,GE,Bing
40.0,mobile,4930,GE,Bing
36.0,Windows,3246,GE,Bing
39.0,mobile,3692,GE,Bing
22.0,Linux,59,NL,Google
44.0,mobile,3136,EN,NA
31.0,Linux,4687,EN,Google
42.0,mobile,4018,GE,Google
38.0,Windows,1123,EN,Google
29.0,Windows,4861,NL,Google
33.0,mobile,4499,NL,Google
32.0,mobile,1994,GE,Google
34.0,mobile,3613,EN,NA
27.0,mobile,786,NL,NA
53.0,Linux,1096,NL,Bing
43.0,mobile,3493,EN,Bing
29.0,mobile,1819,NL,NA
37.0,mobile,1578,NL,Bing
35.0,mobile,2712,GE,Bing
36.0,Linux,4998,NL,Google
21.0,mobile,1789,NL,NA
41.0,Linux,1347,EN,Bing
36.0,Windows,2515,GE,NA
37.0,mobile,3591,GE,NA
44.0,Windows,199,NL,Google
25.0,OSX,4831,GE,Bing
42.0,OSX,523,EN,Google
27.0,Linux,3655,EN,NA
33.0,mobile,4377,NL,Bing
25.0,mobile,3372,NL,Bing
48.0,Windows,1730,EN,Google
26.0,mobile,1991,NL,Bing
39.0,mobile,1235,GE,Bing
30.0,Windows,4755,EN,NA
36.0,mobile,1614,GE,Bing
32.0,OSX,3522,GE,NA
35.0,mobile,3956,EN,Bing
32.0,Linux,3917,NL,Google
38.0,Windows,3207,GE,NA
32.0,mobile,2751,EN,Bing
24.0,mobile,1214,GE,NA
38.0,Linux,2337,GE,NA
37.0,OSX,2881,GE,NA
26.0,Windows,2017,GE,NA
25.0,mobile,3217,GE,NA
33.0,Linux,346,NL,Bing
48.0,mobile,4865,EN,Google
42.0,Windows,1201,GE,Bing
27.0,OSX,4614,EN,Bing
37.0,Linux,3880,EN,Bing
31.0,mobile,1952,EN,NA
29.0,mobile,1433,EN,NA
38.0,mobile,898,NL,NA
20.0,mobile,1856,GE,Google
25.0,Linux,1572,NL,Bing
41.0,mobile,2878,EN,Bing
49.0,Windows,3733,NL,Google
28.0,mobile,4525,GE,Google
40.0,Linux,1128,NL,Bing
30.0,mobile,2842,NL,NA
46.0,Linux,3017,GE,NA
36.0,mobile,4918,EN,Bing
26.0,mobile,2981,EN,NA
28.0,mobile,985,NL,Google
29.0,mobile,2303,NL,Bing
24.0,Windows,3808,EN,NA
31.0,OSX,1903,GE,Google
34.0,OSX,2496,GE,Google
44.0,Windows,1180,NL,Google
31.0,Windows,1718,GE,Google
