Age,Agent,ID,Language,Referer
35.0,OSX,4640,EN,NA
27.0,Linux,4133,EN,Google
37.0,Windows,4832,NL,Bing
45.0,OSX,4252,NL,Bing
37.0,mobile,2487,EN,NA
30.0,Linux,4999,EN,Bing
33.0,OSX,2022,EN,NA
35.0,mobile,4119,GE,NA
23.0,Linux,1094,EN,NA
36.0,mobile,359,EN,Bing
47.0,mobile,4003,GE,Google
28.0,Linux,1028,NL,NA
53.0,Windows,4469,GE,Google
31.0,OSX,749,NL,NA
24.0,Linux,3042,EN,Google
38.0,OSX,516,EN,Bing
57.0,mobile,2689,GE,Bing
50.0,OSX,1257,NL,NA
27.0,OSX,3873,EN,Bing
42.0,Linux,3206,EN,Bing
29.0,mobile,457,EN,Bing
51.0,mobile,3968,EN,Google
28.0,OSX,683,EN,Google
34.0,mobile,3823,EN,NA
43.0,OSX,1641,EN,NA
19.0,mobile,4184,GE,Google
20.0,mobile,1948,EN,Google
35.0,Linux,3083,EN,Bing
40.0,mobile,1021,GE,Google
35.0,mobile,4674,NL,Google
32.0,Windows,1524,GE,Bing
53.0,mobile,1851,NL,Bing
47.0,Windows,39,EN,NA
43.0,mobile,1107,GE,Bing
50.0,OSX,102,NL,Google
29.0,OSX,4780,EN,Bing
31.0,Linux,3596,EN,Bing
51.0,Linux,7,EN,Bing
34.0,Windows,823,NL,Bing
43.0,Windows,38,NL,Google
34.0,mobile,4328,NL,Google
31.0,mobile,970,GE,Bing
40.0,Windows,3790,GE,NA
29.0,Linux,127,NL,Google
38.0,Linux,2940,GE,Bing
34.0,mobile,4164,NL,Google
31.0,Windows,4209,GE,NA
25.0,mobile,400,NL,Bing
19.0,OSX,1298,EN,NA
39.0,mobile,2187,NL,NA
47.0,mobile,2669,GE,Bing
32.0,mobile,2393,NL,NA
34.0,mobile,2255,GE,NA
29.0,Windows,1944,EN,NA
30.0,mobile,379,NL,Bing
32.0,Windows,3875,NL,Google
22.0,mobile,3714,GE,NA
37.0,OSX,1463,EN,Bing
34.0,mobile,2257,GE,Google
28.0,Windows,2931,GE,NA
32.0,mobile,3768,EN,Google
29.0,mobile,2602,NL,NA
38.0,Linux,534,GE,Bing
25.0,Linux,4872,NL,NA
41.0,OSX,2490,GE,NA
26.0,Windows,753,NL,NA
46.0,Linux,2474,EN,Bing
32.0,mobile,1528,EN,Bing
36.0,Windows,2509,GE,NA
27.0,Linux,786,EN,NA
46.0,OSX,376,NL,Google
32.0,OSX,1677,GE,Bing
46.0,mobile,3344,EN,Google
37.0,mobile,4756,EN,Google
22.0,mobile,1089,EN,Bing
30.0,Windows,3792,GE,Google
38.0,OSX,4334,EN,Bing
33.0,OSX,4625,EN,NA
20.0,Windows,4462,GE,Bing
37.0,Linux,335,GE,NA
21.0,Windows,4438,NL,Bing
23.0,mobile,1822,NL,NA
32.0,OSX,3673,NL,NA
35.0,mobile,2563,GE,Google
30.0,mobile,4689,NL,Google
23.0,mobile,3046,NL,Google
50.0,Windows,1767,NL,Google
21.0,Linux,1637,GE,Bing
26.0,mobile,1483,NL,Bing
33.0,OSX,4007,GE,Bing
31.0,mobile,4485,GE,Bing
38.0,mobile,779,NL,Bing
18.0,Linux,1913,NL,NA
37.0,OSX,2286,NL,NA
21.0,mobile,1806,EN,NA
38.0,OSX,2176,EN,NA
35.0,Windows,709,EN,NA
29.0,mobile,1996,EN,Bing
30.0,mobile,29,GE,NA
30.0,Linux,1743,NL,Bing
50.0,Linux,3409,NL,Google
28.0,Linux,1728,EN,Bing
28.0,mobile,3460,EN,Google
25.0,mobile,2405,GE,NA
19.0,OSX,2641,GE,Google
29.0,mobile,3697,NL,NA
37.0,Linux,1744,GE,Bing
36.0,mobile,4749,EN,Bing
29.0,mobile,1434,NL,NA
28.0,mobile,456,EN,Bing
38.0,Windows,3563,EN,Bing
35.0,mobile,4549,GE,Bing
25.0,Linux,404,NL,Google
34.0,mobile,3088,NL,Google
32.0,Linux,3116,EN,NA
40.0,mobile,1768,NL,Bing
41.0,OSX,4089,EN,Bing
33.0,Linux,723,GE,NA
33.0,mobile,2640,GE,NA
43.0,Linux,2226,GE,Google
33.0,Windows,537,GE,Bing
30.0,mobile,1860,NL,Bing
32.0,OSX,2010,GE,Google
20.0,mobile,3425,EN,Bing
25.0,mobile,1850,NL,NA
20.0,mobile,3425,EN,Google
20.0,Windows,4432,GE,Bing
31.0,mobile,4824,EN,Bing
29.0,OSX,3319,NL,NA
29.0,Windows,3113,EN,NA
46.0,mobile,690,NL,NA
36.0,OSX,3191,GE,Bing
31.0,Windows,1074,NL,Bing
31.0,Windows,1304,NL,Google
29.0,mobile,2280,GE,Bing
42.0,OSX,1140,GE,Bing
44.0,mobile,483,EN,Bing
41.0,Windows,1873,NL,Bing
28.0,mobile,510,NL,Google
42.0,mobile,3145,GE,NA
21.0,mobile,1861,GE,NA
35.0,OSX,2330,GE,Google
28.0,OSX,610,EN,NA
29.0,mobile,3506,NL,NA
42.0,mobile,689,EN,NA
33.0,mobile,600,EN,Bing
32.0,OSX,782,NL,Google
46.0,Windows,1569,NL,Google
33.0,Windows,2879,NL,Bing
46.0,mobile,4341,NL,NA
28.0,mobile,4690,EN,NA
37.0,mobile,4175,GE,Google
34.0,mobile,2157,NL,Google
42.0,Linux,2938,EN,NA
28.0,mobile,2583,NL,Google
65.0,OSX,101,NL,Bing
38.0,mobile,920,EN,Google
22.0,OSX,349,NL,NA
33.0,Linux,723,NL,NA
29.0,Linux,3349,NL,Bing
30.0,mobile,4371,EN,NA
40.0,OSX,2214,GE,Google
25.0,Linux,2172,GE,Bing
29.0,Windows,3084,EN,Google
26.0,mobile,4127,EN,Google
27.0,mobile,3164,GE,Bing
57.0,mobile,4446,EN,Bing
39.0,mobile,4141,NL,Bing
29.0,OSX,3578,EN,Bing
28.0,mobile,299,NL,Bing
39.0,OSX,2352,EN,Google
23.0,mobile,2555,GE,Bing
32.0,mobile,3825,NL,NA
36.0,Windows,2915,NL,Bing
29.0,Linux,3636,NL,NA
26.0,mobile,4845,GE,Google
46.0,Windows,3248,GE,Bing
37.0,Linux,165,NL,NA
