Age,Agent,ID,Language,Referer
26.0,Linux,3024,EN,
38.0,mobile,3876,NL,
28.0,Linux,4274,GE,Bing
53.0,mobile,2254,EN,Google
27.0,OSX,3684,NL,Bing
43.0,mobile,1555,EN,Bing
27.0,Windows,3189,EN,Google
34.0,mobile,3239,NL,Bing
40.0,OSX,2166,GE,Bing
35.0,mobile,1045,EN,Bing
48.0,Windows,2884,NL,Bing
44.0,mobile,2880,NL,
40.0,OSX,4042,GE,Google
28.0,OSX,4311,NL,Google
38.0,mobile,4014,EN,
30.0,Linux,4569,EN,
47.0,OSX,147,GE,Google
47.0,mobile,1951,EN,Bing
43.0,Linux,4345,EN,
30.0,Linux,2722,NL,Bing
26.0,OSX,608,GE,Bing
21.0,mobile,471,EN,
48.0,mobile,2392,GE,Bing
38.0,OSX,1200,GE,
51.0,OSX,4172,GE,Google
22.0,Windows,4228,NL,Google
35.0,mobile,2131,NL,
29.0,Linux,3826,EN,Google
36.0,mobile,4459,NL,
26.0,OSX,3221,EN,Google
50.0,mobile,3559,EN,Google
37.0,OSX,2009,GE,Google
37.0,mobile,287,EN,Bing
29.0,mobile,3932,GE,
46.0,mobile,1711,EN,Bing
36.0,mobile,4219,GE,Google
37.0,Windows,2470,NL,Google
38.0,mobile,2748,EN,
39.0,mobile,3604,EN,Bing
50.0,mobile,1447,EN,Bing
45.0,Windows,2468,EN,
34.0,OSX,555,GE,Bing
26.0,mobile,4738,NL,Bing
23.0,mobile,3928,GE,Bing
34.0,mobile,4960,EN,Bing
27.0,Windows,2305,EN,
30.0,Linux,3948,NL,Bing
41.0,mobile,70,NL,
21.0,Linux,4726,GE,Google
44.0,Linux,3439,GE,
35.0,OSX,2111,GE,
26.0,OSX,4196,GE,
37.0,OSX,3335,NL,Google
30.0,mobile,2177,GE,
31.0,mobile,3925,GE,Bing
43.0,mobile,2988,NL,
27.0,mobile,4829,EN,Bing
44.0,mobile,2643,EN,Google
34.0,Linux,417,NL,
24.0,mobile,3382,NL,Google
31.0,mobile,3567,EN,Google
22.0,Linux,4144,NL,Google
33.0,mobile,2499,EN,Bing
25.0,OSX,1793,EN,
22.0,Windows,3395,EN,Google
38.0,Windows,2443,NL,
51.0,mobile,3583,GE,Bing
32.0,mobile,4559,EN,Google
31.0,mobile,3006,GE,Bing
29.0,mobile,3943,EN,
37.0,Windows,4298,EN,Google
37.0,Linux,3283,EN,Bing
25.0,mobile,232,NL,
36.0,Windows,410,GE,
40.0,mobile,3295,EN,
44.0,mobile,4450,EN,Bing
30.0,mobile,2722,EN,
26.0,mobile,1508,GE,
37.0,mobile,3292,EN,Bing
29.0,mobile,2272,GE,Google
37.0,mobile,2783,GE,Google
28.0,Linux,1275,NL,Google
28.0,mobile,1909,GE,Bing
24.0,mobile,4775,NL,Bing
27.0,mobile,1655,GE,Bing
51.0,Linux,278,EN,
29.0,mobile,591,GE,Bing
39.0,Windows,1384,EN,
27.0,Linux,4086,NL,Bing
36.0,mobile,2915,NL,Bing
41.0,Linux,727,NL,Google
26.0,Windows,3156,GE,
38.0,mobile,2589,GE,Bing
39.0,mobile,2491,EN,Google
38.0,mobile,1755,NL,
27.0,mobile,4829,EN,Google
23.0,Windows,2144,EN,
32.0,mobile,3914,GE,
40.0,mobile,4474,EN,
37.0,mobile,1443,GE,Google
32.0,mobile,2729,EN,
23.0,Linux,1401,GE,
29.0,mobile,240,NL,
25.0,OSX,3227,GE,Google
31.0,Linux,2100,GE,
30.0,mobile,4028,EN,Bing
52.0,mobile,3938,NL,Google
37.0,mobile,2819,GE,Google
35.0,Windows,2979,NL,Bing
31.0,OSX,6,NL,Bing
31.0,Linux,2882,EN,
27.0,Windows,3386,NL,Bing
48.0,mobile,3364,EN,Google
24.0,Windows,2971,GE,Bing
35.0,Linux,3518,GE,Bing
36.0,OSX,4891,NL,Google
34.0,OSX,2830,NL,
18.0,OSX,3653,NL,
20.0,Windows,277,EN,
37.0,mobile,2881,NL,Bing
28.0,mobile,2610,GE,Google
37.0,OSX,4279,GE,
29.0,mobile,1434,NL,Google
39.0,mobile,2839,NL,Google
58.0,mobile,254,EN,Google
30.0,Linux,1727,GE,Google
24.0,mobile,2342,EN,Bing
19.0,Windows,437,NL,Bing
40.0,Windows,4930,GE,Bing
36.0,mobile,3246,GE,Bing
39.0,mobile,3692,EN,Bing
22.0,Linux,59,NL,Google
44.0,Windows,3136,NL,Google
31.0,mobile,4687,GE,Bing
42.0,mobile,4018,NL,Google
38.0,Windows,1123,EN,Bing
29.0,Windows,4861,GE,
33.0,mobile,4499,GE,Bing
32.0,Windows,1994,EN,Bing
34.0,Windows,3613,EN,Bing
27.0,Linux,786,NL,Bing
53.0,Linux,1096,NL,
43.0,mobile,3493,EN,
29.0,Windows,1819,NL,Bing
37.0,Windows,1578,NL,Bing
35.0,Linux,2712,NL,Bing
36.0,Linux,4998,EN,Google
21.0,OSX,1789,NL,
41.0,mobile,1347,EN,Bing
36.0,mobile,2515,NL,Bing
37.0,Windows,3591,GE,Bing
44.0,mobile,199,NL,Bing
25.0,mobile,4831,GE,Google
42.0,mobile,523,EN,Bing
27.0,mobile,3655,NL,Bing
33.0,Linux,4377,EN,Bing
25.0,mobile,3372,EN,Google
48.0,mobile,1730,EN,Google
26.0,Windows,1991,NL,Bing
39.0,mobile,1235,GE,Google
30.0,mobile,4755,EN,
36.0,mobile,1614,NL,
32.0,OSX,3522,GE,
35.0,Linux,3956,GE,
32.0,Linux,3917,EN,
38.0,mobile,3207,GE,Google
32.0,OSX,2751,GE,
24.0,Linux,1214,NL,
38.0,mobile,2337,NL,
37.0,OSX,2881,NL,Bing
26.0,mobile,2017,GE,Bing
25.0,Windows,3217,GE,
33.0,Linux,346,NL,Bing
48.0,OSX,4865,GE,Google
42.0,Windows,1201,EN,Bing
27.0,mobile,4614,GE,Bing
37.0,Linux,3880,NL,Bing
31.0,mobile,1952,EN,
29.0,mobile,1433,NL,Google
38.0,OSX,898,GE,Bing
20.0,Windows,1856,NL,
25.0,mobile,1572,NL,
41.0,mobile,2878,EN,
49.0,mobile,3733,GE,Google
28.0,mobile,4525,GE,
40.0,Linux,1128,GE,Bing
30.0,Linux,2842,NL,
46.0,Linux,3017,GE,
36.0,Windows,4918,EN,Google
26.0,Linux,2981,EN,Google
28.0,mobile,985,NL,Google
29.0,mobile,2303,GE,Bing
24.0,Windows,3808,EN,
31.0,mobile,1903,GE,Google
34.0,mobile,2496,NL,
44.0,Windows,1180,EN,Google
31.0,Windows,1718,GE,
36.0,OSX,1834,GE,Bing
45.0,Linux,2868,GE,
39.0,Windows,2747,NL,Bing
25.0,Linux,3288,GE,Bing
23.0,Linux,200,NL,Google
31.0,Windows,105,GE,
35.0,mobile,3083,NL,Bing
31.0,mobile,737,GE,Google
37.0,OSX,718,NL,Bing
30.0,mobile,4420,EN,Google
25.0,mobile,1161,GE,Google
31.0,OSX,2212,GE,
47.0,Windows,2648,NL,Google
38.0,mobile,1482,GE,
37.0,mobile,4528,GE,Google
21.0,mobile,1405,GE,Bing
39.0,Linux,3105,GE,
28.0,mobile,4970,GE,
21.0,mobile,1644,EN,Google
23.0,Linux,4379,EN,Google
23.0,Linux,4675,NL,Bing
29.0,mobile,571,GE,Bing
42.0,OSX,784,EN,Bing
36.0,mobile,3424,NL,Bing
46.0,mobile,4257,GE,
54.0,OSX,3122,NL,
