,chosen_arms,rewards
0,5669,0.0
1,2263,47.0
2,34247,0.0
3,11721,0.0
4,1715,0.0
5,34578,6.0
6,33458,0.0
7,16666,0.0
8,19842,0.0
9,9500,0.0
10,28429,0.0
11,9747,0.0
12,2867,8.0
13,31426,0.0
14,31578,0.0
15,23474,0.0
16,22671,0.0
17,28509,0.0
18,22432,0.0
19,25924,0.0
20,34585,0.0
21,4399,0.0
22,8370,0.0
23,24535,0.0
24,12292,0.0
25,8799,0.0
26,25116,0.0
27,26266,0.0
28,30774,0.0
29,30528,0.0
30,24602,0.0
31,8397,0.0
32,31949,0.0
33,36694,0.0
34,36604,0.0
35,29181,0.0
36,21318,0.0
37,31860,0.0
38,32258,0.0
39,16304,0.0
40,30612,0.0
41,23826,0.0
42,22896,0.0
43,23225,0.0
44,20418,17.0
45,16051,0.0
46,29476,2.0
47,4411,0.0
48,27413,0.0
49,10252,9.0
50,6253,0.0
51,22022,0.0
52,2873,0.0
53,13402,0.0
54,36274,0.0
55,16264,0.0
56,26120,0.0
57,11949,0.0
58,15563,0.0
59,35109,17.0
60,4956,1.0
61,34489,0.0
62,7401,1.0
63,16230,0.0
64,8843,0.0
65,34412,0.0
66,10032,0.0
67,33260,0.0
68,17939,0.0
69,17605,0.0
70,15865,24.0
71,21005,0.0
72,4268,0.0
73,9213,0.0
74,26503,0.0
75,11844,0.0
76,25587,0.0
77,10006,0.0
78,28943,0.0
79,12584,0.0
80,5048,0.0
81,11416,0.0
82,5503,0.0
83,27755,0.0
84,8448,23.0
85,1441,30.0
86,8447,0.0
87,2124,44.0
88,35040,0.0
89,31339,0.0
90,12760,0.0
91,21646,0.0
92,8552,0.0
93,19261,0.0
94,17649,0.0
95,403,0.0
96,33795,0.0
97,15435,0.0
98,14729,0.0
99,894,0.0
100,24560,0.0
101,4435,41.0
102,14886,0.0
103,5457,0.0
104,25840,0.0
105,4868,0.0
106,18422,0.0
107,17583,9.0
108,29768,0.0
109,28446,0.0
110,12155,49.0
111,22681,0.0
112,21823,0.0
113,23277,0.0
114,2088,0.0
115,20145,0.0
116,23291,0.0
117,21135,0.0
118,18860,0.0
119,18213,0.0
120,5637,15.0
121,28551,0.0
122,27432,0.0
123,26971,0.0
124,19178,0.0
125,35015,0.0
126,33521,0.0
127,28118,0.0
128,30715,27.0
129,12522,0.0
130,21494,0.0
131,1048,0.0
132,29598,0.0
133,7186,0.0
134,20373,0.0
135,12763,10.0
136,7216,0.0
137,11672,39.0
138,6209,0.0
139,20611,0.0
140,7323,0.0
141,12957,0.0
142,30673,27.0
143,35365,0.0
144,15206,0.0
145,905,0.0
146,8566,25.0
147,29527,3.0
148,32543,0.0
149,26589,0.0
150,30101,15.0
151,20786,0.0
152,13813,0.0
153,2724,0.0
154,26326,0.0
155,1139,0.0
156,18457,0.0
157,4098,0.0
158,17579,0.0
159,3069,0.0
160,36304,0.0
161,24260,0.0
162,20306,0.0
163,23241,0.0
164,19088,0.0
165,12518,0.0
166,22248,0.0
167,863,0.0
168,35279,0.0
169,4183,0.0
170,20925,0.0
171,34512,5.0
172,24790,0.0
173,26349,0.0
174,28961,0.0
175,6950,0.0
176,15112,0.0
177,9103,0.0
178,17629,0.0
179,35365,0.0
180,15660,0.0
181,8441,0.0
182,25390,0.0
183,34733,9.0
184,4420,0.0
185,3520,0.0
186,35789,0.0
187,15731,0.0
188,14828,2.0
189,31358,0.0
190,27533,0.0
191,9181,0.0
192,35188,0.0
193,24683,0.0
194,35524,0.0
195,33474,0.0
196,11458,0.0
197,214,0.0
198,27391,0.0
199,5970,0.0
200,20144,0.0
201,1019,0.0
202,26747,0.0
203,19384,46.0
204,27563,0.0
205,14173,0.0
206,3458,0.0
207,14744,1.0
208,34293,0.0
209,27183,0.0
210,64,0.0
211,14894,4.0
212,28374,0.0
213,15188,0.0
214,30175,0.0
215,15804,23.0
216,35765,0.0
217,32933,0.0
218,5613,0.0
219,3758,27.0
220,35378,0.0
221,24592,0.0
222,29289,0.0
223,34473,4.0
224,10753,0.0
225,17449,0.0
226,32853,0.0
227,16199,0.0
228,28051,0.0
229,19265,0.0
230,15276,12.0
231,26877,0.0
232,10714,19.0
233,8629,0.0
234,15957,26.0
235,2021,42.0
236,35706,0.0
237,21194,0.0
238,3677,0.0
239,30770,0.0
240,8621,0.0
241,7430,1.0
242,25628,0.0
243,27948,0.0
244,18972,0.0
245,28191,0.0
246,20934,0.0
247,12328,0.0
248,23751,0.0
249,19614,0.0
250,34761,0.0
251,33591,0.0
252,14743,0.0
253,16178,0.0
254,21144,0.0
255,27550,0.0
256,16824,0.0
257,21814,0.0
258,2284,0.0
259,10069,0.0
260,10704,0.0
261,23354,0.0
262,21773,0.0
263,31005,0.0
264,31454,0.0
265,29598,4.0
266,19019,0.0
267,34956,14.0
268,26575,0.0
269,23621,0.0
270,16071,0.0
271,29395,0.0
272,22479,0.0
273,22956,0.0
274,4466,0.0
275,24498,0.0
276,9299,0.0
277,36460,0.0
278,28671,0.0
279,12413,3.0
280,12294,0.0
281,18218,22.0
282,17236,2.0
283,7658,6.0
284,24618,0.0
285,12074,47.0
