chosen_arms,rewards
20950,0.0
14104,0.0
7044,0.0
35272,0.0
30550,0.0
30544,0.0
35246,0.0
23271,0.0
18810,0.0
7033,0.0
9392,0.0
23499,0.0
28221,0.0
2348,0.0
30563,0.0
28206,0.0
16452,0.0
9389,0.0
25597,0.0
18793,0.0
11712,0.0
30558,0.0
30572,0.0
32898,0.0
13664,0.0
11743,0.0
25850,0.0
35271,0.0
30564,49.99
16419,49.99
25835,0.0
23494,0.0
7019,0.0
25846,0.0
35248,0.0
4689,0.0
2308,0.0
25852,0.0
2351,0.0
18810,0.0
30496,0.0
25860,0.0
30557,0.0
14110,0.0
23497,0.0
4699,0.0
23502,0.0
25862,0.0
28213,0.0
25871,0.0
28198,0.0
11747,0.0
30561,0.0
30541,0.0
9362,0.0
9399,0.0
28222,0.0
2342,0.0
23506,0.0
35264,0.0
30536,0.0
35273,0.0
2310,0.0
35244,0.0
2350,0.0
16417,0.0
30551,0.0
35244,0.0
28180,0.0
11735,0.0
4697,0.0
23507,0.0
23486,0.0
32888,0.0
11735,0.0
11749,0.0
25862,0.0
11722,0.0
9404,0.0
21160,0.0
30532,49.99
11753,49.99
16422,0.0
2343,0.0
16450,0.0
25841,0.0
4656,0.0
21151,0.0
21154,0.0
11721,0.0
7016,0.0
2349,0.0
28186,0.0
28202,0.0
30562,0.0
7041,49.99
14073,0.0
16437,0.0
8224,0.0
28222,0.0
2348,0.0
35247,0.0
32885,0.0
25867,0.0
6201,0.0
28209,0.0
25869,0.0
32907,0.0
35029,0.0
16443,0.0
7018,0.0
18798,0.0
2335,0.0
23492,0.0
4698,0.0
35232,0.0
23474,0.0
16443,0.0
7050,0.0
35260,0.0
25845,0.0
25853,0.0
4700,0.0
11746,0.0
14092,0.0
25834,0.0
9389,0.0
2311,0.0
28185,0.0
4701,0.0
14066,0.0
4667,0.0
21149,0.0
23501,0.0
30570,0.0
30547,0.0
28199,0.0
16430,0.0
18807,0.0
32923,0.0
25848,0.0
7016,0.0
28199,0.0
11738,0.0
30572,0.0
9362,0.0
9387,0.0
25869,0.0
9407,0.0
32225,0.0
7013,0.0
18791,0.0
30541,0.0
11758,0.0
23486,0.0
14100,0.0
23500,0.0
23508,0.0
25831,0.0
11738,0.0
20939,0.0
35247,0.0
18775,0.0
7038,0.0
28190,0.0
28186,0.0
21137,0.0
23489,0.0
11733,0.0
23489,0.0
11754,0.0
2349,0.0
25870,0.0
14078,0.0
35252,0.0
28206,0.0
23514,0.0
18783,0.0
35247,0.0
23481,0.0
18813,0.0
20805,0.0
32881,0.0
35269,0.0
23497,0.0
28210,0.0
7010,0.0
4699,0.0
7026,0.0
9382,0.0
14077,0.0
4686,0.0
21164,0.0
28219,0.0
28178,0.0
14083,0.0
32927,0.0
30573,0.0
14084,0.0
9367,0.0
23493,0.0
32910,0.0
35279,49.99
34295,0.0
27959,0.0
35252,0.0
14111,0.0
14099,0.0
7054,0.0
16423,0.0
25521,0.0
35243,0.0
11606,0.0
25521,0.0
32906,0.0
4673,0.0
23461,0.0
13823,0.0
9369,0.0
30574,0.0
16421,0.0
9376,0.0
32896,0.0
7052,0.0
14072,0.0
3667,0.0
32905,0.0
6787,0.0
35239,0.0
16420,49.99
11751,0.0
27830,0.0
32916,0.0
35233,0.0
11751,0.0
35254,0.0
18776,0.0
