,chosen_arms,rewards
0,21549,0.0
1,32027,0.0
2,20180,12.0
3,33441,0.0
4,20180,12.0
5,20180,0.0
6,20180,0.0
7,17670,11.0
8,7204,0.0
9,23562,0.0
10,17670,0.0
11,20180,0.0
12,4779,0.0
13,17670,11.0
14,20403,17.0
15,20403,17.0
16,20403,0.0
17,30565,0.0
18,20403,17.0
19,25256,0.0
20,20403,0.0
21,20403,17.0
22,20403,0.0
23,20403,0.0
24,20403,0.0
25,35827,0.0
26,20403,0.0
27,17670,11.0
28,15991,0.0
29,17670,11.0
30,27174,0.0
31,6047,0.0
32,25491,0.0
33,8538,0.0
34,36315,0.0
35,34314,0.0
36,17670,11.0
37,17670,0.0
38,17670,11.0
39,17670,0.0
40,17670,0.0
41,20403,0.0
42,17670,11.0
43,34625,0.0
44,17670,11.0
45,17670,11.0
46,17670,11.0
47,748,0.0
48,17670,0.0
49,17670,11.0
50,17670,0.0
51,17670,11.0
52,17670,0.0
53,17670,0.0
54,17670,0.0
55,17670,11.0
56,17670,0.0
57,17670,0.0
58,18211,0.0
59,24839,0.0
60,20403,0.0
61,17670,0.0
62,17670,11.0
63,17670,0.0
64,17670,0.0
65,20403,0.0
66,31616,0.0
67,24633,0.0
68,17670,0.0
69,17670,0.0
70,20403,17.0
71,51,1.0
72,20403,17.0
73,20403,17.0
74,20403,17.0
75,20403,0.0
76,20403,17.0
77,20403,0.0
78,34010,0.0
79,20403,0.0
80,20403,0.0
81,20403,0.0
82,13836,33.0
83,13836,0.0
84,36613,0.0
85,13836,0.0
86,8944,0.0
87,13836,33.0
88,13836,0.0
89,13836,0.0
90,36428,0.0
91,13836,0.0
92,13836,0.0
93,21546,0.0
94,5059,0.0
95,13836,0.0
96,13836,0.0
97,20403,0.0
98,13836,0.0
99,20403,0.0
100,20403,0.0
101,13836,33.0
102,5681,0.0
103,13836,0.0
104,13836,0.0
105,7489,3.0
106,13836,0.0
107,13836,33.0
108,13836,0.0
109,4669,0.0
110,13836,0.0
111,13836,0.0
112,35588,0.0
113,13836,0.0
114,13836,0.0
115,16959,0.0
116,13836,0.0
117,13836,0.0
118,20403,0.0
119,13836,0.0
120,20403,17.0
121,20403,0.0
122,20403,0.0
123,21197,0.0
124,20403,0.0
125,13836,0.0
126,20403,0.0
127,13296,0.0
128,20403,17.0
129,8827,0.0
130,20403,0.0
131,20403,17.0
132,20403,17.0
133,20403,0.0
134,27321,0.0
135,20403,17.0
136,20403,0.0
137,20403,0.0
138,10011,4.0
139,20403,17.0
140,20403,17.0
141,20403,0.0
142,20403,0.0
143,36020,0.0
144,20403,0.0
145,20403,17.0
146,18664,31.0
147,18664,0.0
148,31960,0.0
149,18664,0.0
150,18664,0.0
151,18664,0.0
152,20403,0.0
153,18664,0.0
154,16296,33.0
